loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,emi,status,applied_date,approved_date
LN98296,CUST98341,Home,284611.26,3.12,120,1642.69,Active,2025-01-10,2025-01-12
LN98297,CUST98319,Auto,178415.25,9.21,120,1918.28,Active,2025-01-10,2025-01-12
LN98298,CUST98713,Home,176333.26,4.85,60,1248.44,Active,2025-01-10,2025-01-12
LN98299,CUST98633,Personal,271335.83,6.52,24,2319.12,Active,2025-01-10,2025-01-12
LN98300,CUST98262,Personal,267701.31,10.92,60,1074.3,Active,2025-01-10,2025-01-12
LN98301,CUST98558,Home,159726.24,9.72,24,506.97,Active,2025-01-10,2025-01-12
LN98302,CUST98206,Auto,121588.23,5.6,24,945.64,Active,2025-01-10,2025-01-12
LN98303,CUST98980,Education,192486.75,7.84,60,1624.48,Active,2025-01-10,2025-01-12
LN98304,CUST98676,Personal,85536.84,10.1,24,503.27,Active,2025-01-10,2025-01-12
LN98305,CUST98265,Auto,274165.3,9.56,120,2376.06,Active,2025-01-10,2025-01-12
LN98306,CUST98176,Home,289707.16,7.6,60,2479.4,Active,2025-01-10,2025-01-12
LN98307,CUST98584,Auto,292425.0,4.43,60,2465.03,Active,2025-01-10,2025-01-12
LN98308,CUST98674,Home,126454.97,3.05,60,2438.48,Active,2025-01-10,2025-01-12
LN98309,CUST98083,Education,189476.22,6.78,24,1485.59,Active,2025-01-10,2025-01-12
LN98310,CUST98099,Auto,66291.47,3.18,24,410.66,Active,2025-01-10,2025-01-12
LN98311,CUST98724,Education,228926.34,7.47,24,2887.71,Active,2025-01-10,2025-01-12
LN98312,CUST98275,Education,180737.4,5.92,60,2492.57,Active,2025-01-10,2025-01-12
LN98313,CUST98774,Auto,120859.91,5.68,60,412.79,Active,2025-01-10,2025-01-12
LN98314,CUST98575,Personal,282866.95,7.23,120,1983.89,Active,2025-01-10,2025-01-12
LN98315,CUST98220,Personal,222103.5,8.61,60,2617.49,Active,2025-01-10,2025-01-12
LN98316,CUST98897,Education,157724.83,9.02,24,1836.34,Active,2025-01-10,2025-01-12
LN98317,CUST98379,Auto,160361.28,4.97,12,319.92,Active,2025-01-10,2025-01-12
LN98318,CUST98698,Home,34428.01,10.34,36,1340.38,Active,2025-01-10,2025-01-12
LN98319,CUST98836,Home,27458.68,5.71,120,1831.64,Active,2025-01-10,2025-01-12
LN98320,CUST98203,Personal,225794.16,12.0,24,1616.17,Active,2025-01-10,2025-01-12
LN98321,CUST98263,Personal,12830.6,11.3,120,343.65,Active,2025-01-10,2025-01-12
LN98322,CUST98420,Education,297996.35,10.09,24,1913.02,Active,2025-01-10,2025-01-12
LN98323,CUST98241,Home,155751.96,3.05,24,690.24,Active,2025-01-10,2025-01-12
LN98324,CUST98771,Home,69056.74,10.57,12,134.95,Active,2025-01-10,2025-01-12
LN98325,CUST98408,Auto,28044.01,7.06,12,492.24,Active,2025-01-10,2025-01-12
LN98326,CUST98773,Auto,258646.19,10.24,12,2175.58,Active,2025-01-10,2025-01-12
LN98327,CUST98949,Education,97679.92,3.7,120,1171.72,Active,2025-01-10,2025-01-12
LN98328,CUST98306,Education,43532.36,9.64,24,328.26,Active,2025-01-10,2025-01-12
LN98329,CUST98686,Home,89784.93,7.87,120,222.93,Active,2025-01-10,2025-01-12
LN98330,CUST98847,Education,94862.64,6.68,12,1004.61,Active,2025-01-10,2025-01-12
LN98331,CUST98081,Home,53476.5,11.56,120,2180.38,Active,2025-01-10,2025-01-12
LN98332,CUST98274,Education,208042.07,7.21,120,1088.74,Active,2025-01-10,2025-01-12
LN98333,CUST98958,Home,289328.63,3.85,60,1039.94,Active,2025-01-10,2025-01-12
LN98334,CUST98039,Auto,119169.74,6.49,120,1016.13,Active,2025-01-10,2025-01-12
LN98335,CUST98388,Education,148461.35,8.72,120,1173.21,Active,2025-01-10,2025-01-12
LN98336,CUST98327,Auto,110565.94,7.36,36,2732.96,Active,2025-01-10,2025-01-12
LN98337,CUST98433,Home,172138.92,3.27,12,2473.76,Active,2025-01-10,2025-01-12
LN98338,CUST98732,Auto,6728.01,6.22,24,2942.72,Active,2025-01-10,2025-01-12
LN98339,CUST98788,Auto,282708.11,7.76,120,1070.76,Active,2025-01-10,2025-01-12
LN98340,CUST98872,Personal,159095.52,9.85,12,2269.56,Active,2025-01-10,2025-01-12
LN98341,CUST98048,Auto,29597.73,8.34,12,449.75,Active,2025-01-10,2025-01-12
LN98342,CUST98707,Education,148425.42,6.08,12,681.28,Active,2025-01-10,2025-01-12
LN98343,CUST98146,Auto,256626.89,11.56,12,1383.55,Active,2025-01-10,2025-01-12
LN98344,CUST98179,Education,14593.96,7.02,12,1176.26,Active,2025-01-10,2025-01-12
LN98345,CUST98844,Auto,204566.1,6.1,120,1351.56,Active,2025-01-10,2025-01-12
LN98346,CUST98837,Personal,218974.14,4.13,24,754.28,Active,2025-01-10,2025-01-12
LN98347,CUST98755,Education,258737.43,6.59,36,1059.38,Active,2025-01-10,2025-01-12
LN98348,CUST98719,Home,265414.87,9.5,120,2074.03,Active,2025-01-10,2025-01-12
LN98349,CUST98089,Personal,117813.17,9.94,12,2088.05,Active,2025-01-10,2025-01-12
LN98350,CUST98701,Auto,60607.81,4.87,24,1408.78,Active,2025-01-10,2025-01-12
LN98351,CUST98993,Home,121274.47,9.45,60,1748.33,Active,2025-01-10,2025-01-12
LN98352,CUST98740,Auto,236751.97,10.85,12,678.34,Active,2025-01-10,2025-01-12
LN98353,CUST98365,Home,141972.31,11.5,24,725.49,Active,2025-01-10,2025-01-12
LN98354,CUST98986,Home,81535.08,4.71,12,745.76,Active,2025-01-10,2025-01-12
LN98355,CUST98531,Personal,83545.92,4.38,24,384.27,Active,2025-01-10,2025-01-12
LN98356,CUST98983,Education,237002.08,7.53,36,688.75,Active,2025-01-10,2025-01-12
LN98357,CUST98571,Auto,106521.19,5.04,36,1902.07,Active,2025-01-10,2025-01-12
LN98358,CUST98740,Education,6487.29,9.59,12,716.26,Active,2025-01-10,2025-01-12
LN98359,CUST98643,Personal,136276.26,7.1,12,2721.07,Active,2025-01-10,2025-01-12
LN98360,CUST98749,Home,90864.39,10.58,36,176.52,Active,2025-01-10,2025-01-12
LN98361,CUST98543,Home,283480.22,5.83,36,2595.37,Active,2025-01-10,2025-01-12
LN98362,CUST98741,Auto,196079.11,8.71,60,2873.59,Active,2025-01-10,2025-01-12
LN98363,CUST98295,Personal,130048.98,5.74,24,1236.01,Active,2025-01-10,2025-01-12
LN98364,CUST98923,Education,159575.28,6.12,36,2804.29,Active,2025-01-10,2025-01-12
LN98365,CUST98317,Auto,266301.97,11.78,120,1558.81,Active,2025-01-10,2025-01-12
LN98366,CUST98729,Education,214306.26,10.98,36,2992.74,Active,2025-01-10,2025-01-12
LN98367,CUST98793,Personal,235285.15,5.9,24,1364.15,Active,2025-01-10,2025-01-12
LN98368,CUST98844,Education,146370.23,6.83,12,1961.58,Active,2025-01-10,2025-01-12
LN98369,CUST98649,Home,204986.45,6.32,60,2564.19,Active,2025-01-10,2025-01-12
LN98370,CUST98975,Education,287025.38,11.49,12,2497.05,Active,2025-01-10,2025-01-12
LN98371,CUST98058,Auto,200791.92,8.7,12,2012.46,Active,2025-01-10,2025-01-12
LN98372,CUST98527,Home,293068.54,8.0,12,2802.42,Active,2025-01-10,2025-01-12
LN98373,CUST98558,Auto,230753.96,3.92,12,446.23,Active,2025-01-10,2025-01-12
LN98374,CUST98872,Auto,195352.27,10.07,120,2834.11,Active,2025-01-10,2025-01-12
LN98375,CUST98371,Auto,80520.76,8.66,60,1056.39,Active,2025-01-10,2025-01-12
LN98376,CUST98542,Home,160033.18,6.03,120,1754.96,Active,2025-01-10,2025-01-12
LN98377,CUST98447,Personal,214828.99,3.63,120,2833.95,Active,2025-01-10,2025-01-12
LN98378,CUST98885,Education,78991.87,5.1,12,388.92,Active,2025-01-10,2025-01-12
LN98379,CUST98876,Personal,294947.18,7.19,60,1776.8,Active,2025-01-10,2025-01-12
LN98380,CUST98603,Personal,294246.29,9.01,36,1286.71,Active,2025-01-10,2025-01-12
LN98381,CUST98793,Personal,144413.82,10.88,24,1019.85,Active,2025-01-10,2025-01-12
LN98382,CUST98120,Auto,151278.67,7.05,60,1985.45,Active,2025-01-10,2025-01-12
LN98383,CUST98908,Education,141162.48,10.96,120,1366.0,Active,2025-01-10,2025-01-12
LN98384,CUST98730,Personal,162405.33,11.84,24,406.38,Active,2025-01-10,2025-01-12
LN98385,CUST98848,Personal,165073.82,8.39,36,664.76,Active,2025-01-10,2025-01-12
LN98386,CUST98872,Personal,153489.1,10.9,36,2240.0,Active,2025-01-10,2025-01-12
LN98387,CUST98808,Personal,256545.04,10.87,60,117.47,Active,2025-01-10,2025-01-12
LN98388,CUST98671,Education,132483.85,9.06,60,159.7,Active,2025-01-10,2025-01-12
LN98389,CUST98107,Auto,124111.26,9.87,120,2758.18,Active,2025-01-10,2025-01-12
LN98390,CUST98094,Personal,237685.82,7.85,60,628.82,Active,2025-01-10,2025-01-12
LN98391,CUST98883,Education,92834.4,6.23,120,1885.6,Active,2025-01-10,2025-01-12
LN98392,CUST98438,Education,113430.85,7.44,60,2664.68,Active,2025-01-10,2025-01-12
LN98393,CUST98322,Home,76628.72,11.21,12,511.52,Active,2025-01-10,2025-01-12
LN98394,CUST98261,Education,201074.56,10.88,24,436.15,Active,2025-01-10,2025-01-12
LN98395,CUST98989,Education,259047.02,5.42,12,877.66,Active,2025-01-10,2025-01-12
LN98396,CUST98913,Auto,5886.31,5.13,36,2438.61,Active,2025-01-10,2025-01-12
LN98397,CUST98155,Personal,106877.43,4.51,24,2398.8,Active,2025-01-10,2025-01-12
LN98398,CUST98478,Personal,62895.38,8.97,12,1598.61,Active,2025-01-10,2025-01-12
LN98399,CUST98440,Personal,130662.6,5.17,60,1458.62,Active,2025-01-10,2025-01-12
LN98400,CUST98080,Personal,51759.81,5.93,60,657.97,Active,2025-01-10,2025-01-12
LN98401,CUST98763,Personal,230018.4,5.55,36,2261.42,Active,2025-01-10,2025-01-12
LN98402,CUST98114,Education,31541.8,6.05,120,1883.38,Active,2025-01-10,2025-01-12
LN98403,CUST98467,Auto,264263.73,10.84,60,506.7,Active,2025-01-10,2025-01-12
LN98404,CUST98235,Home,244348.92,4.14,120,1278.54,Active,2025-01-10,2025-01-12
LN98405,CUST98080,Education,193335.59,10.33,36,2648.44,Active,2025-01-10,2025-01-12
LN98406,CUST98549,Auto,88590.2,9.49,120,2489.39,Active,2025-01-10,2025-01-12
LN98407,CUST98347,Personal,69492.94,8.84,36,961.2,Active,2025-01-10,2025-01-12
LN98408,CUST98214,Personal,95097.61,3.6,120,1675.16,Active,2025-01-10,2025-01-12
LN98409,CUST98436,Home,21828.08,7.6,36,302.25,Active,2025-01-10,2025-01-12
LN98410,CUST98532,Home,54536.43,9.51,24,1953.82,Active,2025-01-10,2025-01-12
LN98411,CUST98044,Home,179940.49,5.6,24,805.86,Active,2025-01-10,2025-01-12
LN98412,CUST98950,Auto,171794.85,10.47,120,2515.34,Active,2025-01-10,2025-01-12
LN98413,CUST98517,Personal,66907.67,11.17,36,2861.2,Active,2025-01-10,2025-01-12
LN98414,CUST98053,Home,149409.97,11.32,60,1262.54,Active,2025-01-10,2025-01-12
LN98415,CUST98852,Home,32327.86,5.64,36,2116.0,Active,2025-01-10,2025-01-12
LN98416,CUST98871,Education,292863.21,9.93,120,1006.04,Active,2025-01-10,2025-01-12
LN98417,CUST98949,Home,191399.4,10.33,36,154.06,Active,2025-01-10,2025-01-12
LN98418,CUST98229,Personal,88035.01,9.0,12,1252.74,Active,2025-01-10,2025-01-12
LN98419,CUST98451,Auto,85525.34,11.21,36,886.33,Active,2025-01-10,2025-01-12
LN98420,CUST98154,Personal,156286.92,11.93,24,2878.77,Active,2025-01-10,2025-01-12
LN98421,CUST98953,Education,238033.93,5.73,120,2975.75,Active,2025-01-10,2025-01-12
LN98422,CUST98627,Personal,21244.61,3.11,36,960.21,Active,2025-01-10,2025-01-12
LN98423,CUST98737,Education,51571.41,3.19,60,1579.82,Active,2025-01-10,2025-01-12
LN98424,CUST98446,Personal,15912.35,6.41,60,425.66,Active,2025-01-10,2025-01-12
LN98425,CUST98344,Personal,149148.06,6.01,12,342.91,Active,2025-01-10,2025-01-12
LN98426,CUST98090,Auto,131112.01,7.82,12,477.88,Active,2025-01-10,2025-01-12
LN98427,CUST98729,Auto,214006.83,9.85,12,305.43,Active,2025-01-10,2025-01-12
LN98428,CUST98212,Home,8946.52,11.45,36,2410.33,Active,2025-01-10,2025-01-12
LN98429,CUST98898,Education,170910.56,11.66,120,2823.63,Active,2025-01-10,2025-01-12
LN98430,CUST98958,Home,114566.79,11.09,120,1848.21,Active,2025-01-10,2025-01-12
LN98431,CUST98514,Personal,133138.55,11.9,24,1942.25,Active,2025-01-10,2025-01-12
LN98432,CUST98374,Education,138389.13,4.67,24,2314.32,Active,2025-01-10,2025-01-12
LN98433,CUST98248,Auto,42278.36,3.42,120,561.62,Active,2025-01-10,2025-01-12
LN98434,CUST98818,Personal,101349.0,9.25,36,226.47,Active,2025-01-10,2025-01-12
LN98435,CUST98782,Personal,9056.51,8.11,120,485.94,Active,2025-01-10,2025-01-12
LN98436,CUST98212,Auto,88768.99,10.9,12,316.58,Active,2025-01-10,2025-01-12
LN98437,CUST98144,Personal,265195.51,3.84,120,501.35,Active,2025-01-10,2025-01-12
LN98438,CUST98090,Education,247504.08,6.96,120,1895.46,Active,2025-01-10,2025-01-12
LN98439,CUST98842,Education,69598.4,11.88,120,1807.12,Active,2025-01-10,2025-01-12
LN98440,CUST98616,Auto,214517.44,4.56,120,1769.08,Active,2025-01-10,2025-01-12
LN98441,CUST98944,Education,224403.77,11.0,36,537.61,Active,2025-01-10,2025-01-12
LN98442,CUST98973,Personal,58270.19,8.53,12,676.84,Active,2025-01-10,2025-01-12
LN98443,CUST98335,Education,279526.82,10.05,60,977.25,Active,2025-01-10,2025-01-12
LN98444,CUST98152,Home,95059.99,8.5,24,868.2,Active,2025-01-10,2025-01-12
LN98445,CUST98160,Auto,135872.8,8.69,120,2635.73,Active,2025-01-10,2025-01-12
LN98446,CUST98629,Education,173935.82,4.54,24,1042.4,Active,2025-01-10,2025-01-12
LN98447,CUST98623,Education,56359.19,10.49,60,1183.86,Active,2025-01-10,2025-01-12
LN98448,CUST98608,Auto,145716.09,3.78,60,1564.61,Active,2025-01-10,2025-01-12
LN98449,CUST98247,Home,97948.01,7.55,36,1173.17,Active,2025-01-10,2025-01-12
LN98450,CUST98253,Personal,254712.29,10.63,12,119.14,Active,2025-01-10,2025-01-12
LN98451,CUST98911,Personal,255748.44,7.51,120,1275.91,Active,2025-01-10,2025-01-12
LN98452,CUST98671,Auto,79893.33,8.5,24,1126.71,Active,2025-01-10,2025-01-12
LN98453,CUST98697,Auto,214043.95,6.79,24,2465.82,Active,2025-01-10,2025-01-12
LN98454,CUST98717,Auto,60495.63,8.47,36,737.57,Active,2025-01-10,2025-01-12
LN98455,CUST98778,Auto,293183.15,5.22,12,1586.88,Active,2025-01-10,2025-01-12
LN98456,CUST98540,Education,127466.63,4.85,24,1577.4,Active,2025-01-10,2025-01-12
LN98457,CUST98502,Auto,259845.97,11.73,36,2644.76,Active,2025-01-10,2025-01-12
LN98458,CUST98453,Home,247517.03,8.27,36,2993.58,Active,2025-01-10,2025-01-12
LN98459,CUST98259,Education,111956.49,10.3,36,2125.22,Active,2025-01-10,2025-01-12
LN98460,CUST98468,Home,223293.44,5.21,120,1214.79,Active,2025-01-10,2025-01-12
LN98461,CUST98918,Personal,58317.53,5.84,36,773.66,Active,2025-01-10,2025-01-12
LN98462,CUST98655,Home,298261.39,6.74,24,2162.89,Active,2025-01-10,2025-01-12
LN98463,CUST98621,Auto,76609.02,10.43,60,1594.51,Active,2025-01-10,2025-01-12
LN98464,CUST98068,Education,77103.04,4.05,24,2665.68,Active,2025-01-10,2025-01-12
LN98465,CUST98566,Home,242563.7,3.55,12,897.01,Active,2025-01-10,2025-01-12
LN98466,CUST98421,Home,111307.17,6.05,12,2625.16,Active,2025-01-10,2025-01-12
LN98467,CUST98820,Personal,86547.85,7.03,36,1020.81,Active,2025-01-10,2025-01-12
LN98468,CUST98946,Personal,235241.14,6.14,60,1895.03,Active,2025-01-10,2025-01-12
LN98469,CUST98811,Education,246196.86,7.95,12,2094.01,Active,2025-01-10,2025-01-12
LN98470,CUST98581,Home,297396.41,7.06,36,215.78,Active,2025-01-10,2025-01-12
LN98471,CUST98056,Personal,222286.69,8.07,36,1261.06,Active,2025-01-10,2025-01-12
LN98472,CUST98333,Education,237163.3,9.5,36,1376.81,Active,2025-01-10,2025-01-12
LN98473,CUST98589,Auto,268396.19,8.77,36,1358.81,Active,2025-01-10,2025-01-12
LN98474,CUST98413,Personal,254713.32,5.07,24,2127.36,Active,2025-01-10,2025-01-12
LN98475,CUST98680,Personal,257827.86,4.24,60,1769.84,Active,2025-01-10,2025-01-12
LN98476,CUST98278,Personal,259228.54,6.89,12,2592.24,Active,2025-01-10,2025-01-12
LN98477,CUST98600,Education,247830.5,5.02,60,1732.79,Active,2025-01-10,2025-01-12
LN98478,CUST98966,Personal,17108.99,6.89,60,266.6,Active,2025-01-10,2025-01-12
LN98479,CUST98556,Auto,190592.33,8.86,24,2426.66,Active,2025-01-10,2025-01-12
LN98480,CUST98354,Personal,125155.25,5.63,60,1348.31,Active,2025-01-10,2025-01-12
LN98481,CUST98172,Education,201814.11,5.08,60,2918.28,Active,2025-01-10,2025-01-12
LN98482,CUST98745,Auto,7080.51,4.89,12,1582.98,Active,2025-01-10,2025-01-12
LN98483,CUST98153,Home,286866.16,6.91,60,710.19,Active,2025-01-10,2025-01-12
LN98484,CUST98882,Auto,294782.93,6.36,24,1007.82,Active,2025-01-10,2025-01-12
LN98485,CUST98762,Home,295083.43,3.79,60,2056.03,Active,2025-01-10,2025-01-12
LN98486,CUST98251,Auto,140016.6,4.85,12,1706.34,Active,2025-01-10,2025-01-12
LN98487,CUST98769,Education,199071.03,6.81,12,2330.94,Active,2025-01-10,2025-01-12
LN98488,CUST98186,Personal,144285.09,6.78,24,725.64,Active,2025-01-10,2025-01-12
LN98489,CUST98723,Education,192813.28,10.65,12,475.14,Active,2025-01-10,2025-01-12
LN98490,CUST98713,Auto,57095.33,5.98,60,463.56,Active,2025-01-10,2025-01-12
LN98491,CUST98206,Education,269512.55,3.08,36,2399.75,Active,2025-01-10,2025-01-12
LN98492,CUST98632,Personal,216837.13,6.15,24,1814.34,Active,2025-01-10,2025-01-12
LN98493,CUST98263,Auto,188469.89,5.46,36,440.29,Active,2025-01-10,2025-01-12
LN98494,CUST98025,Education,29810.72,8.5,24,1624.19,Active,2025-01-10,2025-01-12
LN98495,CUST98417,Auto,145770.13,10.11,24,1715.74,Active,2025-01-10,2025-01-12
LN98496,CUST98337,Home,245826.06,3.85,24,752.89,Active,2025-01-10,2025-01-12
LN98497,CUST98449,Personal,277108.83,8.78,120,2741.85,Active,2025-01-10,2025-01-12
LN98498,CUST98828,Personal,231074.96,3.01,120,495.4,Active,2025-01-10,2025-01-12
LN98499,CUST98827,Education,276282.0,6.49,12,638.56,Active,2025-01-10,2025-01-12
LN98500,CUST98828,Auto,109117.1,8.13,60,939.28,Active,2025-01-10,2025-01-12
LN98501,CUST98432,Education,180897.88,3.12,36,1440.52,Active,2025-01-10,2025-01-12
LN98502,CUST98473,Education,246082.12,8.08,120,1223.67,Active,2025-01-10,2025-01-12
LN98503,CUST98436,Auto,261278.38,4.68,12,362.42,Active,2025-01-10,2025-01-12
LN98504,CUST98291,Home,231343.76,9.15,60,2208.67,Active,2025-01-10,2025-01-12
LN98505,CUST98282,Education,111098.36,9.82,24,2075.98,Active,2025-01-10,2025-01-12
LN98506,CUST98218,Auto,115508.06,10.96,36,2684.08,Active,2025-01-10,2025-01-12
LN98507,CUST98809,Auto,127450.55,9.99,120,357.13,Active,2025-01-10,2025-01-12
LN98508,CUST98343,Auto,259858.58,11.58,60,608.22,Active,2025-01-10,2025-01-12
LN98509,CUST98599,Personal,54798.93,6.09,120,2166.59,Active,2025-01-10,2025-01-12
LN98510,CUST98234,Personal,50870.29,7.65,120,1200.57,Active,2025-01-10,2025-01-12
LN98511,CUST98222,Home,52913.05,3.28,36,2787.43,Active,2025-01-10,2025-01-12
LN98512,CUST98077,Auto,125764.17,11.72,24,2564.2,Active,2025-01-10,2025-01-12
LN98513,CUST98124,Auto,135175.1,10.23,24,106.43,Active,2025-01-10,2025-01-12
LN98514,CUST98468,Home,230087.33,4.39,60,2232.08,Active,2025-01-10,2025-01-12
LN98515,CUST98606,Auto,132938.81,6.58,12,1864.07,Active,2025-01-10,2025-01-12
LN98516,CUST98294,Education,45256.62,4.95,60,2667.05,Active,2025-01-10,2025-01-12
LN98517,CUST98348,Personal,8916.06,3.51,60,2995.8,Active,2025-01-10,2025-01-12
LN98518,CUST98164,Personal,99197.46,7.71,120,459.37,Active,2025-01-10,2025-01-12
LN98519,CUST98267,Auto,267851.31,5.7,24,1128.07,Active,2025-01-10,2025-01-12
LN98520,CUST98810,Personal,121846.49,8.26,12,2676.31,Active,2025-01-10,2025-01-12
LN98521,CUST98049,Home,150860.56,9.54,120,2758.72,Active,2025-01-10,2025-01-12
LN98522,CUST98934,Personal,148790.56,8.31,24,2906.53,Active,2025-01-10,2025-01-12
LN98523,CUST98133,Auto,78128.59,3.95,36,916.64,Active,2025-01-10,2025-01-12
LN98524,CUST98435,Auto,133082.8,9.91,24,1366.21,Active,2025-01-10,2025-01-12
LN98525,CUST98700,Home,42483.26,4.55,12,2627.34,Active,2025-01-10,2025-01-12
LN98526,CUST98517,Auto,255996.92,4.8,36,258.42,Active,2025-01-10,2025-01-12
LN98527,CUST98466,Personal,134675.66,5.43,24,796.83,Active,2025-01-10,2025-01-12
LN98528,CUST98909,Personal,161741.2,10.73,36,2493.3,Active,2025-01-10,2025-01-12
LN98529,CUST98269,Home,186097.15,6.97,36,2101.09,Active,2025-01-10,2025-01-12
LN98530,CUST98044,Auto,53764.77,9.32,36,1249.12,Active,2025-01-10,2025-01-12
LN98531,CUST98668,Home,36172.42,6.13,24,952.58,Active,2025-01-10,2025-01-12
LN98532,CUST98055,Personal,285041.43,8.11,120,2380.5,Active,2025-01-10,2025-01-12
LN98533,CUST98283,Education,90407.95,11.09,24,1565.3,Active,2025-01-10,2025-01-12
LN98534,CUST98190,Home,283091.38,9.53,60,2326.66,Active,2025-01-10,2025-01-12
LN98535,CUST98591,Home,18833.11,3.96,36,678.93,Active,2025-01-10,2025-01-12
LN98536,CUST98675,Personal,108800.7,4.6,36,2750.38,Active,2025-01-10,2025-01-12
LN98537,CUST98406,Education,84242.47,7.07,12,2458.18,Active,2025-01-10,2025-01-12
LN98538,CUST98428,Auto,184813.93,4.18,12,2867.55,Active,2025-01-10,2025-01-12
LN98539,CUST98313,Home,42151.91,6.53,36,2149.61,Active,2025-01-10,2025-01-12
LN98540,CUST98592,Home,206099.82,11.21,12,671.09,Active,2025-01-10,2025-01-12
LN98541,CUST98367,Auto,260480.12,7.03,24,2777.76,Active,2025-01-10,2025-01-12
LN98542,CUST98324,Personal,37629.02,7.1,60,2604.47,Active,2025-01-10,2025-01-12
LN98543,CUST98348,Education,280370.57,5.38,12,2269.24,Active,2025-01-10,2025-01-12
LN98544,CUST98477,Personal,151208.89,7.33,60,1194.49,Active,2025-01-10,2025-01-12
LN98545,CUST98961,Home,67385.8,7.07,36,461.53,Active,2025-01-10,2025-01-12
LN98546,CUST98918,Auto,175645.14,8.29,24,103.08,Active,2025-01-10,2025-01-12
LN98547,CUST98824,Education,86023.89,6.61,36,2837.51,Active,2025-01-10,2025-01-12
LN98548,CUST98720,Auto,11599.34,9.28,24,1154.24,Active,2025-01-10,2025-01-12
LN98549,CUST98279,Education,294549.45,11.23,36,373.98,Active,2025-01-10,2025-01-12
LN98550,CUST98795,Personal,282115.56,6.74,24,2003.34,Active,2025-01-10,2025-01-12
LN98551,CUST98069,Home,44734.04,6.92,24,2581.78,Active,2025-01-10,2025-01-12
LN98552,CUST98400,Personal,271975.87,7.73,36,840.78,Active,2025-01-10,2025-01-12
LN98553,CUST98517,Personal,217180.22,7.81,12,1929.0,Active,2025-01-10,2025-01-12
LN98554,CUST98931,Home,37793.49,10.26,60,2288.32,Active,2025-01-10,2025-01-12
LN98555,CUST98419,Education,144390.52,5.58,12,2508.84,Active,2025-01-10,2025-01-12
LN98556,CUST98196,Personal,111492.14,3.8,36,1979.95,Active,2025-01-10,2025-01-12
LN98557,CUST98934,Home,198313.25,7.93,12,1336.16,Active,2025-01-10,2025-01-12
LN98558,CUST98638,Education,97926.82,6.23,36,1279.97,Active,2025-01-10,2025-01-12
LN98559,CUST98451,Home,297095.0,4.66,36,583.68,Active,2025-01-10,2025-01-12
LN98560,CUST98009,Education,203473.85,3.26,120,2165.95,Active,2025-01-10,2025-01-12
LN98561,CUST98576,Education,150548.03,4.42,12,1321.45,Active,2025-01-10,2025-01-12
LN98562,CUST98609,Home,49917.6,11.47,60,588.54,Active,2025-01-10,2025-01-12
LN98563,CUST98982,Home,141610.73,9.62,36,2099.05,Active,2025-01-10,2025-01-12
LN98564,CUST98314,Home,92975.42,6.25,60,2853.5,Active,2025-01-10,2025-01-12
LN98565,CUST98403,Personal,276405.68,9.71,24,812.39,Active,2025-01-10,2025-01-12
LN98566,CUST98191,Home,94773.58,7.32,60,1414.65,Active,2025-01-10,2025-01-12
LN98567,CUST98398,Home,171835.34,9.08,24,1299.57,Active,2025-01-10,2025-01-12
LN98568,CUST98927,Auto,274223.21,9.76,120,1682.04,Active,2025-01-10,2025-01-12
LN98569,CUST98888,Education,213653.11,3.27,60,2904.95,Active,2025-01-10,2025-01-12
LN98570,CUST98945,Personal,77091.25,4.0,60,890.3,Active,2025-01-10,2025-01-12
LN98571,CUST98233,Personal,177546.62,8.77,120,1474.38,Active,2025-01-10,2025-01-12
LN98572,CUST98659,Auto,39573.1,7.79,60,1574.74,Active,2025-01-10,2025-01-12
LN98573,CUST98959,Personal,288894.58,4.77,36,2601.55,Active,2025-01-10,2025-01-12
LN98574,CUST98617,Auto,88354.14,6.0,36,2462.85,Active,2025-01-10,2025-01-12
LN98575,CUST98516,Home,161536.07,11.72,24,2444.87,Active,2025-01-10,2025-01-12
LN98576,CUST98124,Home,266519.09,8.47,12,1294.26,Active,2025-01-10,2025-01-12
LN98577,CUST98200,Home,103034.51,3.62,120,436.17,Active,2025-01-10,2025-01-12
LN98578,CUST98199,Auto,247900.94,10.3,12,2329.8,Active,2025-01-10,2025-01-12
LN98579,CUST98502,Education,143761.7,7.0,12,1380.98,Active,2025-01-10,2025-01-12
LN98580,CUST98662,Personal,294803.15,11.82,120,1336.98,Active,2025-01-10,2025-01-12
LN98581,CUST98826,Auto,125352.54,6.13,60,2845.88,Active,2025-01-10,2025-01-12
LN98582,CUST98249,Education,291627.72,11.29,36,1606.62,Active,2025-01-10,2025-01-12
LN98583,CUST98786,Personal,185173.24,7.61,36,2837.13,Active,2025-01-10,2025-01-12
LN98584,CUST98795,Auto,176202.33,8.43,120,242.45,Active,2025-01-10,2025-01-12
LN98585,CUST98962,Personal,201897.85,6.94,12,1193.22,Active,2025-01-10,2025-01-12
LN98586,CUST98364,Home,70634.2,4.7,60,326.95,Active,2025-01-10,2025-01-12
LN98587,CUST98375,Education,49210.82,4.13,36,113.97,Active,2025-01-10,2025-01-12
LN98588,CUST98219,Auto,275391.72,5.08,12,2410.02,Active,2025-01-10,2025-01-12
LN98589,CUST98379,Home,168123.77,6.45,12,1578.28,Active,2025-01-10,2025-01-12
LN98590,CUST98085,Home,185351.06,3.71,12,160.35,Active,2025-01-10,2025-01-12
